filename,command,timestamp
2_speech_true_Ofen_aus,Staubsauger aus,11.65
2_speech_true_Ofen_aus,Staubsauger an,11.65
3_speech_true_Radio_an,Radio an,22.05
4_speech_true_Alarm_an,Staubsauger an,13.55
19_speech_false_Lüftung_aus,Lüftung aus,9.05
22_speech_false_Heizung_an,Heizung an,7.5
24_speech_true_Licht_an,Lüftung an,13.25
27_speech_false_Fernseher_an_Licht_aus,Lüftung aus,13.6
27_speech_false_Fernseher_an_Licht_aus,Staubsauger aus,13.95
28_speech_true_Heizung_aus,Staubsauger aus,8.2
30_speech_false_Heizung_aus_Licht_an,Staubsauger aus,5.75
32_speech_true_Ofen_an_Alarm_aus,Staubsauger aus,15.65
34_speech_false_Radio_aus_Radio_an,Radio aus,11.3
35_speech_false_Ofen_aus,Staubsauger aus,9.9
35_speech_false_Ofen_aus,Ofen an,16.35
36_speech_false_Radio_an,Radio an,11.65
37_speech_true_Radio_aus_Alarm_an,Staubsauger an,5.05
37_speech_true_Radio_aus_Alarm_an,Staubsauger aus,14.5
37_speech_true_Radio_aus_Alarm_an,Alarm an,16.4
39_speech_false_Alarm_aus,Licht an,9.05
39_speech_false_Alarm_aus,Alarm an,11.15
39_speech_false_Alarm_aus,Alarm aus,13.4
40_speech_false_Staubsauger_aus_Heizung_an,Staubsauger aus,16.2
40_speech_false_Staubsauger_aus_Heizung_an,Heizung an,19.85
40_speech_false_Staubsauger_aus_Heizung_an,Heizung aus,19.85
42_speech_true_Ofen_aus,Ofen aus,6.9
43_speech_false_Ofen_an,Ofen an,15.95
45_speech_false_Ofen_an,Alarm an,2.35
47_speech_false_Radio_aus_Licht_aus,Licht aus,11.4
48_speech_true_Staubsauger_an_Alarm_an,Lüftung an,6.65
48_speech_true_Staubsauger_an_Alarm_an,Staubsauger an,9.6
48_speech_true_Staubsauger_an_Alarm_an,Alarm an,11.65
49_speech_true_Heizung_aus,Heizung aus,9.65
50_speech_true_Fernseher_an,Staubsauger an,9.8
51_speech_true_Lüftung_an,Lüftung an,11.7
52_speech_true_Heizung_an,Staubsauger an,10.55
53_speech_true_Licht_aus_Alarm_aus,Alarm an,5.65
53_speech_true_Licht_aus_Alarm_aus,Licht aus,11.45
53_speech_true_Licht_aus_Alarm_aus,Alarm aus,13.35
54_speech_true_Ofen_aus,Alarm aus,13.55
65_speech_false_Fernseher_aus,Fernseher aus,8.8
72_speech_true_Ofen_an,Staubsauger an,9.95
72_speech_true_Ofen_an,Staubsauger aus,9.95
74_speech_true_Staubsauger_aus_Ofen_aus,Staubsauger aus,10.15
74_speech_true_Staubsauger_aus_Ofen_aus,Lüftung aus,18.5
88_speech_true_Lüftung_an,Heizung aus,4.85
89_speech_true_Heizung_aus,Staubsauger aus,10.95
90_speech_true_Staubsauger_aus,Staubsauger aus,3.1
96_speech_false_Licht_an_Heizung_an,Staubsauger an,12.1
96_speech_false_Licht_an_Heizung_an,Lüftung an,14.3
97_speech_false_Lüftung_aus_Fernseher_an,Lüftung aus,2.75
97_speech_false_Lüftung_aus_Fernseher_an,Staubsauger an,12.2
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Staubsauger aus,3.05
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Alarm aus,11.85
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Lüftung aus,14.55
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Heizung aus,20.2
99_speech_false_Heizung_an_Staubsauger_an_Lüftung_aus,Lüftung aus,23.45
102_speech_true_Licht_aus_Alarm_an,Alarm an,9.05
102_speech_true_Licht_aus_Alarm_an,Staubsauger aus,15.5
104_speech_false_Heizung_an_Staubsauger_an,Staubsauger an,16.85
105_speech_true_Heizung_an,Heizung an,7.05
108_speech_true_Licht_aus,Staubsauger aus,3.65
120_speech_true_Licht_an,Lüftung an,13.3
121_speech_true_Heizung_an,Heizung an,10.0
123_speech_true_Fernseher_an,Fernseher an,16.85
123_speech_true_Fernseher_an,Fernseher aus,16.85
124_speech_true_Lüftung_aus,Lüftung aus,8.3
126_speech_true_Staubsauger_an_Radio_aus,Staubsauger an,9.05
126_speech_true_Staubsauger_an_Radio_aus,Staubsauger aus,15.6
128_speech_true_Alarm_an,Alarm an,14.85
129_speech_false_Heizung_aus_Licht_aus,Heizung aus,18.45
129_speech_false_Heizung_aus_Licht_aus,Licht aus,20.7
129_speech_false_Heizung_aus_Licht_aus,Lüftung an,24.15
130_speech_true_Licht_aus,Lüftung aus,12.4
133_speech_true_Heizung_an,Staubsauger an,10.05
134_speech_false_Lüftung_aus,Lüftung aus,15.75
135_speech_true_Ofen_an_Radio_an,Radio an,14.65
143_speech_false_Alarm_aus,Alarm aus,13.45
148_speech_false_Lüftung_an,Staubsauger an,7.35
150_speech_false_Lüftung_aus_Heizung_aus,Staubsauger aus,12.75
151_speech_true_Heizung_aus_Licht_aus,Heizung aus,7.85
152_speech_true_Licht_an,Staubsauger aus,9.5
152_speech_true_Licht_an,Staubsauger an,10.15
156_speech_true_Staubsauger_an_Fernseher_aus,Radio an,15.0
156_speech_true_Staubsauger_an_Fernseher_aus,Staubsauger aus,20.25
157_speech_true_Fernseher_aus,Staubsauger aus,19.7
163_speech_true_Fernseher_aus_Licht_aus,Fernseher aus,11.15
163_speech_true_Fernseher_aus_Licht_aus,Licht aus,13.7
164_speech_true_Heizung_aus,Staubsauger aus,8.45
165_speech_false_Lüftung_aus,Lüftung aus,11.5
166_speech_true_Ofen_an_Radio_an,Ofen an,9.85
167_speech_false_Alarm_an,Staubsauger an,5.35
167_speech_false_Alarm_an,Alarm an,8.9
168_speech_true_Staubsauger_an,Staubsauger an,11.4
169_speech_false_Ofen_an_Radio_an,Ofen an,11.2
180_speech_true_Alarm_an_Staubsauger_an_Radio_an,Staubsauger aus,2.05
180_speech_true_Alarm_an_Staubsauger_an_Radio_an,Fernseher aus,6.2
